grid#	st#	step	ml_c	gt_c	dist	p(gt)
0	2	64	(63, 3)	(63, 3)	0.000	0.895
0	2	65	(63, 4)	(63, 3)	1.000	0.184
0	2	66	(63, 3)	(63, 3)	0.000	0.794
0	2	67	(63, 3)	(63, 4)	1.000	0.294
0	2	68	(63, 5)	(63, 5)	0.000	0.709
0	2	69	(64, 5)	(64, 5)	0.000	0.773
0	2	70	(64, 5)	(64, 5)	0.000	0.927
0	2	71	(65, 5)	(65, 5)	0.000	0.873
0	2	72	(65, 6)	(65, 6)	0.000	0.788
0	2	73	(66, 6)	(66, 6)	0.000	0.711
0	2	74	(67, 6)	(67, 6)	0.000	0.970
0	2	75	(67, 6)	(68, 6)	1.000	0.298
0	2	76	(68, 5)	(68, 5)	0.000	0.674
0	2	77	(69, 5)	(69, 5)	0.000	0.777
0	2	78	(70, 5)	(70, 5)	0.000	0.708
0	2	79	(70, 4)	(70, 4)	0.000	0.706
0	2	80	(70, 3)	(70, 3)	0.000	0.965
0	2	81	(69, 3)	(69, 3)	0.000	0.795
0	2	82	(68, 3)	(68, 3)	0.000	0.787
0	2	83	(68, 2)	(68, 2)	0.000	0.799
0	2	84	(68, 1)	(68, 1)	0.000	0.803
0	2	85	(67, 1)	(67, 1)	0.000	0.964
0	2	86	(67, 0)	(67, 0)	0.000	0.974
0	2	87	(66, 0)	(66, 0)	0.000	0.992
0	2	88	(65, 0)	(65, 0)	0.000	0.993
0	2	89	(65, 0)	(65, 0)	0.000	1.000
0	2	90	(65, 0)	(65, 0)	0.000	0.993
0	2	91	(65, 0)	(65, 0)	0.000	1.000
0	2	92	(65, 0)	(65, 0)	0.000	1.000
0	2	93	(65, 0)	(65, 0)	0.000	1.000
0	2	94	(64, 0)	(64, 0)	0.000	0.900
0	2	95	(64, 0)	(64, 0)	0.000	0.900
0	2	96	(64, 0)	(64, 0)	0.000	0.900
0	2	97	(64, 0)	(64, 0)	0.000	0.900
0	2	98	(65, 0)	(65, 0)	0.000	0.896
0	2	99	(65, 0)	(65, 0)	0.000	0.901
0	2	100	(66, 0)	(66, 0)	0.000	0.987
Already at last step
0	3	1	(0, 0)	(73, 9)	73.553	0.000
0	3	2	(0, 0)	(73, 8)	73.437	0.000
0	3	3	(54, 0)	(74, 8)	21.541	0.000
0	3	4	(90, 57)	(75, 8)	51.245	0.002
0	3	5	(90, 56)	(75, 7)	51.245	0.007
0	3	6	(90, 55)	(75, 6)	51.245	0.012
0	3	7	(91, 55)	(76, 6)	51.245	0.017
0	3	8	(91, 55)	(77, 6)	50.961	0.021
0	3	9	(91, 55)	(78, 6)	50.695	0.023
0	3	10	(91, 55)	(79, 6)	50.448	0.025
0	3	11	(79, 7)	(79, 7)	0.000	0.122
0	3	12	(80, 7)	(80, 7)	0.000	0.236
0	3	13	(80, 8)	(80, 7)	1.000	0.032
0	3	14	(79, 7)	(79, 7)	0.000	0.096
0	3	15	(79, 8)	(79, 8)	0.000	0.136
0	3	16	(79, 9)	(79, 9)	0.000	0.556
0	3	17	(79, 10)	(79, 10)	0.000	0.669
0	3	18	(79, 11)	(79, 11)	0.000	0.853
0	3	19	(80, 11)	(80, 11)	0.000	0.892
0	3	20	(80, 12)	(80, 12)	0.000	0.981
0	3	21	(81, 12)	(81, 12)	0.000	0.983
0	3	22	(81, 11)	(81, 11)	0.000	0.892
0	3	23	(82, 11)	(82, 11)	0.000	0.986
0	3	24	(83, 11)	(83, 11)	0.000	0.985
0	3	25	(83, 10)	(83, 10)	0.000	0.889
0	3	26	(84, 10)	(83, 10)	1.000	0.103
0	3	27	(84, 9)	(83, 9)	1.000	0.104
0	3	28	(83, 9)	(82, 9)	1.000	0.095
0	3	29	(83, 8)	(82, 8)	1.000	0.094
0	3	30	(82, 8)	(81, 8)	1.000	0.085
0	3	31	(82, 9)	(81, 9)	1.000	0.005
0	3	32	(83, 9)	(82, 9)	1.000	0.086
0	3	33	(83, 8)	(82, 8)	1.000	0.077
0	3	34	(82, 8)	(81, 8)	1.000	0.076
0	3	35	(81, 9)	(81, 9)	0.000	0.315
0	3	36	(83, 8)	(81, 9)	2.236	0.059
0	3	37	(84, 8)	(82, 9)	2.236	0.056
0	3	38	(84, 9)	(82, 9)	2.000	0.029
0	3	39	(85, 9)	(82, 9)	3.000	0.003
0	3	40	(85, 9)	(83, 9)	2.000	0.007
0	3	41	(85, 8)	(83, 8)	2.000	0.007
0	3	42	(85, 8)	(83, 7)	2.236	0.033
0	3	43	(84, 7)	(84, 7)	0.000	0.318
0	3	44	(88, 6)	(85, 7)	3.162	0.072
0	3	45	(84, 8)	(85, 8)	1.000	0.169
0	3	46	(84, 9)	(85, 9)	1.000	0.268
0	3	47	(83, 9)	(84, 9)	1.000	0.312
0	3	48	(83, 8)	(84, 8)	1.000	0.310
0	3	49	(84, 7)	(84, 7)	0.000	0.871
0	3	50	(84, 7)	(84, 7)	0.000	0.972
0	3	51	(83, 7)	(83, 7)	0.000	0.968
0	3	52	(83, 6)	(83, 7)	1.000	0.099
0	3	53	(83, 5)	(83, 7)	2.000	0.010
0	3	54	(82, 5)	(83, 7)	2.236	0.001
0	3	55	(81, 5)	(82, 7)	2.236	0.017
0	3	56	(81, 5)	(81, 7)	2.000	0.035
0	3	57	(80, 5)	(80, 7)	2.000	0.004
0	3	58	(80, 6)	(80, 8)	2.000	0.041
0	3	59	(79, 6)	(79, 8)	2.000	0.048
0	3	60	(78, 6)	(79, 8)	2.236	0.063
0	3	61	(78, 5)	(79, 7)	2.236	0.091
0	3	62	(78, 5)	(78, 7)	2.000	0.343
0	3	63	(77, 7)	(77, 7)	0.000	0.885
0	3	64	(77, 6)	(77, 6)	0.000	0.931
0	3	65	(78, 6)	(77, 6)	1.000	0.097
0	3	66	(77, 7)	(77, 7)	0.000	0.630
0	3	67	(78, 7)	(78, 7)	0.000	0.672
0	3	68	(78, 7)	(78, 7)	0.000	0.926
0	3	69	(78, 7)	(78, 7)	0.000	0.990
0	3	70	(78, 7)	(78, 7)	0.000	0.999
0	3	71	(78, 7)	(78, 7)	0.000	1.000
0	3	72	(79, 7)	(79, 7)	0.000	0.900
0	3	73	(79, 6)	(79, 6)	0.000	0.810
0	3	74	(80, 6)	(80, 6)	0.000	0.980
0	3	75	(80, 5)	(80, 5)	0.000	0.894
0	3	76	(80, 4)	(80, 4)	0.000	0.986
0	3	77	(81, 4)	(81, 4)	0.000	0.890
0	3	78	(81, 3)	(81, 3)	0.000	0.801
0	3	79	(81, 2)	(81, 2)	0.000	0.721
0	3	80	(82, 2)	(82, 2)	0.000	0.649
0	3	81	(82, 2)	(82, 2)	0.000	0.457
0	3	82	(81, 2)	(81, 2)	0.000	0.375
0	3	83	(80, 2)	(80, 2)	0.000	0.390
0	3	84	(79, 2)	(79, 2)	0.000	0.678
0	3	85	(79, 1)	(79, 1)	0.000	0.751
0	3	86	(78, 1)	(78, 1)	0.000	0.381
0	3	87	(78, 1)	(78, 1)	0.000	0.679
0	3	88	(77, 1)	(77, 1)	0.000	0.881
0	3	89	(77, 1)	(77, 1)	0.000	0.530
0	3	90	(76, 0)	(77, 0)	1.000	0.185
0	3	91	(75, 0)	(77, 0)	2.000	0.067
0	3	92	(76, 0)	(76, 0)	0.000	0.543
0	3	93	(76, 1)	(76, 1)	0.000	0.884
0	3	94	(77, 1)	(77, 1)	0.000	0.978
0	3	95	(77, 0)	(77, 0)	0.000	0.988
0	3	96	(77, 0)	(77, 0)	0.000	0.995
0	3	97	(77, 0)	(77, 0)	0.000	0.995
0	3	98	(78, 0)	(78, 0)	0.000	0.994
0	3	99	(79, 0)	(79, 0)	0.000	0.881
0	3	100	(80, 0)	(80, 0)	0.000	0.984
Already at last step
0	4	1	(0, 75)	(3, 82)	7.616	0.001
0	4	2	(2, 49)	(3, 82)	33.015	0.002
0	4	3	(2, 49)	(3, 82)	33.015	0.003
0	4	4	(62, 9)	(4, 82)	93.236	0.000
0	4	5	(96, 36)	(4, 82)	102.859	0.000
0	4	6	(96, 35)	(4, 81)	102.859	0.000
0	4	7	(7, 58)	(4, 80)	22.204	0.000
0	4	8	(7, 57)	(4, 79)	22.204	0.000
0	4	9	(7, 57)	(3, 79)	22.361	0.000
0	4	10	(85, 79)	(3, 80)	82.006	0.001
0	4	11	(84, 79)	(3, 80)	81.006	0.002
0	4	12	(39, 75)	(3, 80)	36.346	0.000
0	4	13	(39, 76)	(3, 80)	36.222	0.001
0	4	14	(38, 76)	(3, 80)	35.228	0.001
0	4	15	(60, 63)	(3, 80)	59.481	0.002
0	4	16	(59, 63)	(3, 80)	58.523	0.003
0	4	17	(37, 77)	(3, 80)	34.132	0.005
0	4	18	(36, 77)	(3, 80)	33.136	0.009
0	4	19	(27, 16)	(3, 79)	67.417	0.035
0	4	20	(26, 16)	(2, 79)	67.417	0.062
0	4	21	(26, 15)	(2, 78)	67.417	0.116
0	4	22	(35, 75)	(2, 78)	33.136	0.028
0	4	23	(2, 76)	(2, 77)	1.000	0.007
0	4	24	(1, 76)	(1, 77)	1.000	0.007
0	4	25	(0, 76)	(0, 77)	1.000	0.069
0	4	26	(0, 77)	(0, 77)	0.000	0.254
0	4	27	(0, 78)	(0, 78)	0.000	0.394
0	4	28	(76, 19)	(0, 78)	96.213	0.073
0	4	29	(1, 78)	(1, 78)	0.000	0.472
0	4	30	(1, 79)	(1, 79)	0.000	0.596
0	4	31	(1, 80)	(1, 80)	0.000	0.930
0	4	32	(1, 81)	(1, 81)	0.000	0.964
0	4	33	(1, 81)	(1, 81)	0.000	0.979
0	4	34	(1, 81)	(1, 81)	0.000	0.986
0	4	35	(1, 81)	(1, 81)	0.000	0.988
0	4	36	(1, 82)	(1, 81)	1.000	0.006
0	4	37	(1, 83)	(1, 82)	1.000	0.105
0	4	38	(1, 83)	(1, 83)	0.000	0.989
0	4	39	(0, 83)	(0, 83)	0.000	0.993
0	4	40	(0, 84)	(0, 84)	0.000	0.900
0	4	41	(0, 84)	(0, 84)	0.000	0.900
0	4	42	(0, 85)	(0, 85)	0.000	0.810
0	4	43	(0, 84)	(0, 85)	1.000	0.267
0	4	44	(0, 85)	(0, 86)	1.000	0.244
0	4	45	(0, 85)	(0, 86)	1.000	0.354
0	4	46	(0, 85)	(0, 86)	1.000	0.365
0	4	47	(0, 86)	(0, 87)	1.000	0.328
0	4	48	(1, 87)	(1, 87)	0.000	0.883
0	4	49	(1, 88)	(1, 88)	0.000	0.824
0	4	50	(0, 88)	(1, 88)	1.000	0.096
0	4	51	(0, 88)	(1, 88)	1.000	0.010
0	4	52	(0, 89)	(1, 89)	1.000	0.009
0	4	53	(0, 90)	(1, 90)	1.000	0.006
0	4	54	(1, 90)	(2, 90)	1.000	0.009
0	4	55	(2, 90)	(3, 90)	1.000	0.008
0	4	56	(2, 91)	(3, 91)	1.000	0.007
0	4	57	(3, 91)	(4, 91)	1.000	0.006
0	4	58	(3, 92)	(4, 92)	1.000	0.006
0	4	59	(3, 93)	(4, 93)	1.000	0.009
0	4	60	(3, 93)	(3, 93)	0.000	0.637
0	4	61	(2, 93)	(2, 93)	0.000	0.660
0	4	62	(2, 94)	(2, 94)	0.000	0.620
0	4	63	(2, 94)	(2, 94)	0.000	0.687
0	4	64	(2, 94)	(2, 94)	0.000	0.927
0	4	65	(2, 94)	(2, 94)	0.000	0.947
0	4	66	(2, 94)	(2, 94)	0.000	0.526
0	4	67	(2, 93)	(2, 93)	0.000	0.497
0	4	68	(1, 93)	(1, 93)	0.000	0.449
0	4	69	(0, 93)	(0, 93)	0.000	0.924
0	4	70	(0, 93)	(0, 93)	0.000	0.606
0	4	71	(1, 93)	(1, 93)	0.000	0.808
0	4	72	(1, 93)	(1, 93)	0.000	0.888
0	4	73	(2, 93)	(2, 93)	0.000	0.879
0	4	74	(2, 94)	(2, 94)	0.000	0.803
0	4	75	(2, 94)	(2, 94)	0.000	0.881
0	4	76	(2, 94)	(2, 94)	0.000	0.970
0	4	77	(2, 94)	(2, 94)	0.000	0.994
0	4	78	(2, 94)	(2, 94)	0.000	0.998
0	4	79	(2, 94)	(2, 94)	0.000	0.999
0	4	80	(3, 94)	(3, 94)	0.000	0.993
0	4	81	(3, 95)	(3, 95)	0.000	0.987
0	4	82	(4, 95)	(4, 95)	0.000	0.898
0	4	83	(4, 95)	(4, 95)	0.000	0.982
0	4	84	(3, 95)	(3, 95)	0.000	0.896
0	4	85	(3, 95)	(3, 95)	0.000	0.985
0	4	86	(3, 96)	(3, 96)	0.000	0.886
0	4	87	(2, 96)	(2, 96)	0.000	0.798
0	4	88	(2, 97)	(2, 97)	0.000	0.777
0	4	89	(1, 97)	(1, 97)	0.000	0.977
0	4	90	(1, 98)	(1, 98)	0.000	0.889
0	4	91	(1, 99)	(1, 99)	0.000	0.986
0	4	92	(1, 99)	(1, 99)	0.000	1.000
0	4	93	(0, 99)	(1, 99)	1.000	0.100
0	4	94	(0, 98)	(1, 98)	1.000	0.099
0	4	95	(0, 98)	(1, 97)	1.414	0.090
